"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-05-31","93.2","-1.2","6.32","Bradish, Kyle",665926,680694,"walk","ball",,,,,13,"Andrés Giménez challenged (pitch result), call on the field was overturned: Andrés Giménez walks. Charles McAdoo to 2nd.","R","L","R","BAL","TOR","B",,,3,2,2026,"-0.27","1.37",-0.2587394931001098,1.3218903561830593,,,807727,2,7,"Top",,,,,,,2.9978489389416074,-135.34328029784427,-9.778077621427794,-4.0571053144635805,32.413118792242095,-13.380060326209076,3.164714567,1.597145669,,,,"92.9",2309,"6.4",824832,694212,624413,702616,677942,683002,621493,665750,681297,"54.08",,0.701892,"0.7",1,0,0,,57,6,"4-Seam Fastball",9,1,1,9,1,9,1,9,"Strategic","Standard",190,"-0.002","0.206",,,,"-0.206",,8,-8,0.998,0.0020000000000000018,29,27,30,28,3,2,,,,,"1.29","0.27","-0.27",,,,,,
"SI","2026-05-31","96.4","-2.07","6.2","Burke, Sean",805808,680732,"walk","ball",,,,,14,"Kevin McGonigle challenged (pitch result), call on the field was overturned: Kevin McGonigle walks.","R","L","R","CWS","DET","B",,,3,2,2026,"-1.15","1.33",0.8639654472641469,1.8837362418933559,,,,0,6,"Top",,,,,,,10.416931266455641,-139.8315479293002,-8.77461464897204,-17.41946585676348,30.629587023040674,-12.900663830547172,3.085728346,1.557283465,,,,"97.2",2525,"6.8",824592,691011,694378,805367,678246,695657,803011,671976,807747,"53.66",,0.701892,"0.7",1,0,0,,37,6,"Sinker",0,1,1,0,1,0,1,0,"Infield shade","Standard",209,"-0.032","0.359",,,,"-0.359",,-1,1,0.334,0.6659999999999999,26,21,27,22,3,2,,,,,"1.14","1.15","-1.15",,,,,,
"SL","2026-05-31","90.4","-1.73","5.33","Misiorowski, Jacob",670623,694819,,"ball",,,,,12,,"R","R","R","HOU","MIL","B",,,1,1,2026,"0.07","0.27",0.8297055875615664,2.545522384082109,,,,0,7,"Bot",,,,,,,6.280623218914352,-131.63548037348932,-1.4236238982611042,-0.5040575804806198,27.652134728833204,-28.942942314325517,3.180511811,1.60511811,,,,"92.5",2596,"7.5",824187,596142,683734,668930,666152,687401,641343,669003,686217,"53",,,,,,,,49,3,"Slider",0,2,0,2,2,0,0,2,"Standard","Standard",137,"0.009","0.063",,,,"-0.063",,-2,-2,0.219,0.219,24,27,24,27,3,2,,,,,"2.51","-0.07","-0.07",,,,,,
"SL","2026-05-31","86.4","-0.63","6.2","Littell, Zack",593428,641793,,"ball",,,,,12,,"R","R","R","WSH","SD","B",,,1,0,2026,"0.01","0.8",0.8502566507444448,2.6220910001151263,,,,0,7,"Top",,,,,,,3.470303422830953,-125.8958511122676,-3.849728669625737,-0.5536746578952337,22.42932533709234,-23.035445492514423,3.284949147,1.657824803,,,,"86.9",1985,"6.2",822729,660688,671277,678391,678554,682928,695734,696285,695578,"54.26",,,,,,,,47,2,"Slider",3,0,0,3,0,3,0,3,"Standard","Standard",216,"-0.009","0.083",,,,"-0.083",,3,-3,0.889,0.11099999999999999,30,33,31,34,3,2,,,,,"2.21","-0.01","-0.01",,,,,,
"SL","2026-05-31","88.1","-2.19","6.32","Burke, Sean",668670,680732,,"called_strike",,,,,1,,"R","R","R","CWS","DET","S",,,0,1,2026,"0.37","0.44",-0.32413038094445606,3.1209440635544254,,,,1,5,"Top",,,,,,,3.7052701773243566,-128.33780367580718,-2.4292796634976654,3.3651753609891055,25.15213531967617,-27.044325943015046,3.18402231,1.606889764,,,,"88.7",2638,"6.5",824592,691011,694378,805367,678246,695657,803011,671976,807747,"54.01",,,,,,,,31,2,"Slider",0,1,1,0,1,0,1,0,"Standard","Standard",125,"0.004","-0.055",,,,"0.055",,-1,1,0.389,0.611,26,31,27,31,2,1,,,,,"2.48","-0.37","-0.37",,,,,,
"CU","2026-05-31","78.9","-2.86","6.21","Gordon, Tanner",805811,685299,,"called_strike",,,,,8,,"R","L","R","COL","SF","S",,,2,1,2026,"0.02","-0.51",0.2714179701844871,1.7218759244906914,,,,0,4,"Top",,,,,,,6.65312472714173,-114.66957427671947,-1.6792007700370297,-1.156279537055333,22.48387589821392,-36.52926629505015,3.541215551,1.787155512,,,,"78.2",2325,"6",824354,690924,650489,677060,691720,678662,687859,664983,671289,"54.49",,,,,,,,30,4,"Curveball",1,2,2,1,2,1,2,1,"Infield shade","Standard",63,"0.007","-0.071",,,,"0.071",,-1,1,0.373,0.627,28,21,29,22,2,1,,,,,"4.2","-0.02","0.02",,,,,,
"FS","2026-05-31","83.5","-0.79","6.14","Littell, Zack",666023,641793,,"ball",,,,,14,,"R","R","R","WSH","SD","B",,,2,2,2026,"-0.48","0.2",0.4879835887823047,1.4168094125917094,,,,0,6,"Top",,,,,,,3.8444471300809218,-121.65350599117502,-4.63175296894976,-5.451814149409635,21.722685945889246,-29.576762510171097,3.105036089,1.567027559,,,,"83.6",923,"6.1",822729,660688,671277,678391,678554,682928,695734,696285,695578,"54.41",,,,,,,,40,5,"Split-Finger",3,0,0,3,0,3,0,3,"Standard","Standard",247,"-0.01","0.11",,,,"-0.11",,3,-3,0.867,0.133,30,31,31,31,2,1,,,,,"3.04","0.48","0.48",,,,,,
"FC","2026-05-31","84.3","-2.56","6.27","Bibee, Tanner",665966,676440,,"ball",,,,,14,,"R","R","R","CLE","BOS","B",,,0,2,2026,"0.78","-0.21",1.0065260674239025,1.7152960709583684,691785,657136,,0,5,"Top",,,,,,,6.613662831096963,-122.75847118101706,-3.612296364188812,6.7351770322632785,22.65743397647384,-33.816327907903805,3.180511811,1.60511811,,,,"84.8",2632,"6.4",824430,595978,700932,683953,608070,677587,681807,656413,800050,"54.09",,,,,,,,35,3,"Cutter",2,1,1,2,1,2,1,2,"Strategic","Strategic",56,"-0.007","0.016",,,,"-0.016",,1,-1,0.469,0.531,27,27,27,28,2,1,,,,,"3.39","-0.78","-0.78",,,,,,
"FF","2026-05-31","96.9","-1.96","4.97","Imai, Tatsuya",596142,837227,,"ball",,,,,12,,"R","R","R","HOU","MIL","B",,,1,1,2026,"-0.8","1.08",0.8400025296938168,2.9515218742293703,,,,1,4,"Top",,,,,,,9.251647453339666,-140.70470402367187,-2.0962992417420883,-12.87711543063413,36.3451832263808,-17.631097089177278,3.311277887,1.671112205,,,,"96.5",2098,"6.5",824187,543877,572233,669397,670623,665161,666211,676694,701358,"53.99",,,,,,,,27,3,"4-Seam Fastball",0,2,2,0,2,0,2,0,"Infield shade","Standard",233,"-0.003","0.054",,,,"-0.054",,-2,2,0.29,0.71,28,33,28,34,2,1,,,,,"1.38","0.8","0.8",,,,,,
"SI","2026-05-31","92.8","-2.61","6.2","Bibee, Tanner",657136,676440,,"ball",,,,,12,,"R","R","R","CLE","BOS","B",,,0,1,2026,"-1.21","0.64",0.6190848141327734,3.402837200299359,,,691785,0,5,"Top",,,,,,,10.8420254071379,-134.84288578887228,-2.652954556485204,-16.900792590124098,25.493490695015222,-23.98711676089815,3.105913714,1.567470472,,,,"93.3",1948,"6.4",824430,595978,700932,683953,608070,677587,681807,656413,800050,"54.11",,,,,,,,34,2,"Sinker",2,1,1,2,1,2,1,2,"Standard","Standard",214,"-0.005","0.02",,,,"-0.02",,1,-1,0.592,0.40800000000000003,27,30,27,30,2,1,,,,,"1.99","1.21","1.21",,,,,,
